nct_id,phase,status,studyStopReason,studyStopReasonCategories,phase2_progression,primary_endpoint_result,secondary_endpoint_result,virtualbiotech_stop_reason_categories,results_source,ae_source,pubmed_ids,ae_serious_infections_pct,ae_serious_gastrointestinal_pct,ae_serious_cardiac_pct,ae_serious_blood_lymphatic_pct,ae_serious_nervous_pct,ae_serious_respiratory_pct,ae_serious_general_pct,ae_serious_vascular_pct,ae_serious_renal_pct,ae_serious_injury_pct
NCT00000102,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00000115,2.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,8684794,,,,,,,,,,
NCT00000122,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,2688428|8420383|8604728,,,,,,,,,,
NCT00000151,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,2062512|2866759|1507375,,,,,,,,,,
NCT00000157,3.0,Terminated,,,,NEGATIVE,POSITIVE,Success|Interim analysis,PubMed,PubMed,2664509|1993037|9805346,,,,,,,,,,
NCT00000159,3.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,2119168|8170559|2012352,,,,,,,7.0,,,
NCT00000170,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,22737529|14609923|18695096,,,,,,,,,,
NCT00000172,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,10881251|11279727,,,,,,,,,,
NCT00000173,3.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,15829527,,,,,,,,,,
NCT00000174,3.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,17509485,,,,,,,,,,
NCT00000176,3.0,Completed,,,,UNKNOWN,NEGATIVE,Safety or side effects|Regulatory,,WHI/WHIMS Literature,18827045,,,,,,,,,,
NCT00000177,3.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,10697060,,,,,,,,,,
NCT00000178,3.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,10680787,,,,,,,,,,
NCT00000179,3.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,11087767,,,,,,,,,,
NCT00000188,2.0,Completed,,,,UNKNOWN,NEGATIVE,,PubMed,,16730924|7587975|10579543|10327427,,,,,,,,,,
NCT00000189,2.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,1609038,,,,,,,,,,
NCT00000191,2.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,7555622,,,,,,,,,,
NCT00000192,2.0,Withdrawn,,,,UNKNOWN,UNKNOWN,No context,,,9800147,,,,,,,,,,
NCT00000195,2.0,Withdrawn,,,,UNKNOWN,UNKNOWN,No context,,,10376126,,,,,,,,,,
NCT00000196,2.0,Withdrawn,,,,UNKNOWN,UNKNOWN,No context,,,11095445|10376126,,,,,,,,,,
NCT00000197,2.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,PubMed,11297832|16697124,,,,,,,,,,
NCT00000200,2.0,Completed,,,,NEGATIVE,NEGATIVE,,,,,,,,,,,,,,
